# repo=endojs/endo-but-for-bots commit=eb47ab6749b12dcdec261e5a2373200038b5c3e2 generator=export-index/1
# name	specifier	package	def	kind	arity	shape	tokens	private
GETATTR_BASIC	@endo/9p-server/src/types.js	@endo/9p-server	packages/9p-server/src/types.js:112	const				1
GET_INTERFACE_GUARD	@endo/exo	@endo/exo	packages/exo/src/get-interface.js:18	const				0
GET_METHOD_NAMES	@endo/pass-style	@endo/pass-style	packages/pass-style/src/make-far.js:142	const				0
GIT_METHOD_GUARDS	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:220	const				0
GIT_READER_METHODS	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:293	const				0
GIT_REWRITER_METHODS	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:337	const				0
GIT_REWRITER_ONLY_METHODS	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:332	const				0
GIT_WRITER_METHODS	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:326	const				0
GIT_WRITER_ONLY_METHODS	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:310	const				0
GLOB_MAX_RESULTS	@endo/platform/fs	@endo/platform	packages/platform/src/fs/search.js:80	const				0
GLOB_MAX_RESULTS	@endo/platform/fs/lite	@endo/platform	packages/platform/src/fs/search.js:80	const				0
GLOB_MAX_RESULTS	@endo/platform/fs/node	@endo/platform	packages/platform/src/fs/search.js:80	const				0
GLOB_MAX_RESULTS	@endo/platform/fs/search	@endo/platform	packages/platform/src/fs/search.js:80	const				0
GREP_MAX_RESULTS	@endo/platform/fs	@endo/platform	packages/platform/src/fs/search.js:87	const				0
GREP_MAX_RESULTS	@endo/platform/fs/lite	@endo/platform	packages/platform/src/fs/search.js:87	const				0
GREP_MAX_RESULTS	@endo/platform/fs/node	@endo/platform	packages/platform/src/fs/search.js:87	const				0
GREP_MAX_RESULTS	@endo/platform/fs/search	@endo/platform	packages/platform/src/fs/search.js:87	const				0
GitCredentialControllerInterface	@endo/exo-git	@endo/exo-git	packages/exo-git/src/interfaces.js:437	const				0
GitCredentialControllerInterface	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:437	const				0
GitCredentialControllerInterface	@endo/exo-git/types-index.js	@endo/exo-git	packages/exo-git/src/interfaces.js:437	const				0
GitInterface	@endo/exo-git	@endo/exo-git	packages/exo-git/src/interfaces.js:392	const				0
GitInterface	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:392	const				0
GitInterface	@endo/exo-git/types-index.js	@endo/exo-git	packages/exo-git/src/interfaces.js:392	const				0
GitReaderInterface	@endo/exo-git	@endo/exo-git	packages/exo-git/src/interfaces.js:371	const				0
GitReaderInterface	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:371	const				0
GitReaderInterface	@endo/exo-git/types-index.js	@endo/exo-git	packages/exo-git/src/interfaces.js:371	const				0
GitRebaseStartInputShape	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:87	const				0
GitRemoteControllerInterface	@endo/exo-git	@endo/exo-git	packages/exo-git/src/interfaces.js:422	const				0
GitRemoteControllerInterface	@endo/exo-git/src/interfaces.js	@endo/exo-git	packages/exo-git/src/interfaces.js:422	const				0
GitRemoteControllerInterface	@endo/exo-git/types-index.js	@endo/exo-git	packages/exo-git/src/interfaces.js:422	const				0
